ID Caso,Código DANE de Municipio,Municipio,Departamento,Año,Mes,Día,ID Persona,Sexo,Etnia,Ocupación,Calidad de la Víctima o la Baja,Tipo de Población Vulnerable,Militante Político,Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente,Descripción Fuerza o Grupo Armado Organizado al que Pertenece el Combatiente,Situación Actual de la Víctima,Fuente de Información de la Desaparición,Edad,latitud-longitud
231362,52258,EL TABLON DE GOMEZ,NARIÑO,1996,8,20,252637,MUJER,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-76.98526959 1.409430207)
231369,95200,MIRAFLORES,GUAVIARE,1996,8,22,252644,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,ADOLESCENCIA (12-17 AÑOS),POINT (-72.0181095 1.363974932)
231370,50711,VISTAHERMOSA,META,1996,8,22,252645,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,ADOLESCENCIA (12-17 AÑOS),POINT (-73.66652234 2.811616698)
231371,95200,MIRAFLORES,GUAVIARE,1996,8,22,252646,HOMBRE,,EMPLEADO,CIVIL,,,,,DESAPARECIDO,,JUVENTUD (18-28 AÑOS),POINT (-71.950416 1.337539)
231372,27001,QUIBDO,CHOCO,1996,8,22,252647,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,SIGUE DESAPARECIDO PERO EXISTE INFORMACIÓN,FAMILIARES O COMUNIDAD,,POINT (-76.65015147 5.7543229)
231373,27615,RIOSUCIO,CHOCO,1996,8,22,252648,HOMBRE,,ECONOMÍA INFORMAL,CIVIL,,,,,SIGUE DESAPARECIDO PERO EXISTE INFORMACIÓN,FAMILIARES O COMUNIDAD,ADULTEZ (29-59 AÑOS),POINT (-77.12665865 7.576344173)
231373,27615,RIOSUCIO,CHOCO,1996,8,22,252649,HOMBRE,,CONDUCTOR/MOTORISTA,CIVIL,,,,,SIGUE DESAPARECIDO PERO EXISTE INFORMACIÓN,FAMILIARES O COMUNIDAD,,POINT (-77.12665865 7.576344173)
231375,05051,ARBOLETES,ANTIOQUIA,1996,8,23,252650,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,ADULTEZ (29-59 AÑOS),POINT (-76.41478317 8.611395262)
231376,23555,PLANETA RICA,CORDOBA,1996,8,23,252651,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,,POINT (-75.68923803 8.181108488)
231377,05045,APARTADO,ANTIOQUIA,1996,8,23,252652,HOMBRE,,SIN INFORMACIÓN,CIVIL,,,,,DESAPARECIDO,,ADULTEZ (29-59 AÑOS),POINT (-76.625135 7.883257)
