"ID Caso","ID Caso Relacionado","Año","Mes","Día","Código DANE de Municipio","Municipio","Departamento","Región","Modalidad","Presunto Responsable","Descripción Presunto Responsable","Abandono o Despojo Forzado de Tierras","Amenaza o Intimidación","Ataque Contra Misión Médica","Confinamiento o Restricción a la Movilidad","Desplazamiento Forzado","Extorsión","Lesionados Civiles","Pillaje","Tortura","Violencia Basada en Género","Otro Hecho Simultáneo","Total Combatientes","Total Civiles","Total de Víctimas del Caso","Tipo de Armas","latitud-longitud"
"774,902","CR2017774902","2,023","9","22","76364","JAMUNDI","VALLE DEL CAUCA","SUR DEL VALLE","ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO","GUERRILLA","DISIDENCIA FARC","0","0","0","0","0","0","10","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-76.62760418 3.213892389)"
"805,139","CR2017805139","2,016","8","10","95025","EL RETORNO","GUAVIARE","ARIARI GUAYABERO","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","OTRA DISIDENCIA","0","0","0","0","0","0","4","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-72.24364869 2.143447362)"
"825,661",,"2,012","3","15","11001","BOGOTA, D.C.","BOGOTA, D. C.","AREA METROPOLITANA DE BOGOTA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","FARC","0","0","0","0","0","0","40","0","0",,,"0","2","2","ARTEFACTO EXPLOSIVO","POINT (-74.107359 4.650173)"
"867,263",,"1,962","10","18","52696","SANTA BARBARA","NARIÑO","ANDEN PACIFICO SUR","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","DESCONOCIDO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"0","3","3","ARTEFACTOS EXPLOSIVOS IMPROVISADOS  AEI","POINT (-77.979916 2.449653)"
"877,547","CR2017877547","1,962","12","31","25518","PAIME","CUNDINAMARCA","NOROCCIDENTE DE CUNDINAMARCA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","DESCONOCIDO","NO APLICA","0","0","1","0","0","0","0","0","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-74.16395696 5.387647345)"
"877,985","CR2017877975","2,024","5","20","19473","MORALES","CAUCA","NORTE DEL CAUCA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","DISIDENCIA FARC","0","0","0","1","0","0","0","1","0",,,"0","0","0","ARTEFACTO EXPLOSIVO","POINT (-76.74605152 2.773663981)"
"877,990","CR2017877990","2,024","5","20","76364","JAMUNDI","VALLE DEL CAUCA","SUR DEL VALLE","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GUERRILLA","DISIDENCIA FARC","0","0","0","1","0","0","12","0","0",,"HOSTIGAMIENTO","0","0","0","ARTEFACTO EXPLOSIVO","POINT (-76.539785 3.260449)"
"878,081",,"1,958","5","4","73026","ALVARADO","TOLIMA","NORTE DEL TOLIMA","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GRUPO ARMADO NO IDENTIFICADO","NO APLICA","0","0","0","0","0","0","0","0","0",,,"0","27","27","ARMA CORTO PUNZANTE - ARMA DE FUEGO - ARTEFACTO EXPLOSIVO","POINT (-74.98630686 4.582625784)"
"878,485","CR2017878485","2,024","4","23","19050","ARGELIA","CAUCA","PATIA","ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO","GUERRILLA","DISIDENCIA FARC","0","0","0","0","1","0","0","0","0",,"ACCIÓN BÉLICA","0","0","0","ARTEFACTO EXPLOSIVO","POINT (-77.23558959 2.46383187)"
"97,544",,"2,000","3","9","23001","MONTERIA","CORDOBA","ALTO SINU Y SAN JORGE","ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO","GRUPO PARAMILITAR","NO IDENTIFICADO","0","0","0","0","0","0","6","0","0",,,"0","1","1","ARTEFACTO EXPLOSIVO","POINT (-75.95055079 8.584698016)"
